Source,Target
138042735,3025288
138042735,247433
138042735,353712
138042735,1996010
138042735,3722035
138042735,3939603
138042735,4242224
138042735,5925815
138042735,6307567
138042735,7659134
138042735,7912589
138042735,9251061
138042735,11870639
138042735,16566974
138042735,19678319
138042735,20247717
138042735,20443307
138042735,21714173
138042735,22855155
138042735,26289168
138042735,26405910
138042735,27798016
138042735,29483390
138042735,29485118
138042735,30017099
138042735,30882399
138042735,31186257
138042735,33337188
138042735,33697482
138042735,34547861
138042735,35356076
138042735,39922458
138042735,50012039
138042735,50278023
138042735,51235173
138042735,51239053
138042735,52899690
138042735,58667910
138042735,59768198
138042735,59917759
138042735,60669265
138042735,61480634
138042735,64534533
138042735,64535162
138042735,66954635
138042735,68959001
138042735,71242652
138042735,72618301
138042735,74231542
138042735,74699324
138042735,77713982
138042735,80346476
138042735,82871136
138042735,88386393
138042735,95871960
138042735,95901129
138042735,96234482
138042735,98941824
138042735,101891694
138042735,103421335
138042735,109069539
138042735,115198158
138042735,116516856
138042735,116725116
138042735,118074006
138042735,118753305
138042735,120220145
138042735,120350494
138042735,123313748
138042735,127288498
138042735,128795460
138042735,129808024
138042735,130523729
138042735,131839690
138042735,131997199
138042735,132983753
138042735,133221610
138042735,134920969
138042735,136822907
138042735,137781740
138042735,138042735
138042735,138058928
138042735,138878419
138042735,139950565
138042735,140790128
138042735,141608552
138042735,143509472
138042735,144560209
138042735,144619693
138042735,144648176
138042735,146433569
138042735,147056397
138042735,148435217
138042735,149155634
138042735,150737550
138042735,150827769
138042735,150965349
138042735,151172671
138042735,151685268
138042735,151825183
138042735,152322748
138042735,154493490
138042735,155670432
138042735,155673463
138042735,156374811
138042735,157283797
138042735,158402774
138042735,159226539
138042735,159774985
138042735,160742620
138042735,161058149
138042735,161156933
138042735,161429648
138042735,161717316
138042735,162552095
138042735,162831848
138042735,162862365
138042735,162929676
138042735,164875396
138042735,165370040
138042735,166033844
138042735,167721495
138042735,168422233
138042735,169038528
138042735,169332373
138042735,169457605
138042735,171374006
138042735,172780291
138042735,175173344
138042735,175366698
138042735,176250899
138042735,176918795
138042735,177195726
138042735,177804238
138042735,178443353
138042735,181174737
138042735,181713288
138042735,182039200
138042735,182097324
138042735,183430775
138042735,184537566
138042735,184607823
138042735,186525162
138042735,187368823
138042735,188335070
138042735,188723835
138042735,189419148
138042735,189497000
138042735,189565348
138042735,190905276
138042735,191371393
138042735,191662487
138042735,193032630
138042735,193157700
138042735,195886435
138042735,196162786
138042735,196450284
138042735,196849464
138042735,197176344
138042735,197258454
138042735,199545903
138042735,203301521
138042735,203401926
138042735,205307774
138042735,206313558
138042735,208446724
138042735,209266286
138042735,211110478
138042735,211202131
138042735,212986310
138042735,213344398
138042735,215171663
138042735,215634811
138042735,219736094
138042735,221549981
138042735,221893253
138042735,224002413
138042735,225823446
138042735,226678303
138042735,227963755
138042735,229467358
138042735,230011431
138042735,230166402
138042735,230298660
138042735,230744698
138042735,231247013
138042735,231766983
138042735,232305006
138042735,233606013
138042735,234998550
138042735,237764479
138042735,237949726
138042735,238684535
138042735,240018300
138042735,241242499
138042735,241644562
138042735,241738857
138042735,242879001
138042735,243771453
138042735,245265845
138042735,246509336
138042735,249363296
138042735,250049121
138042735,251192370
138042735,255288173
138042735,255797374
138042735,257859970
138042735,258474807
138042735,259050311
138042735,265353899
138042735,266764414
138042735,266876731
138042735,267091143
138042735,271792313
138042735,272629445
138042735,272915304
138042735,273877187
138042735,275157480
138042735,276976420
138042735,277335912
138042735,278616839
138042735,283203083
138042735,283367645
138042735,285205555
138042735,287752561
138042735,288547195
138042735,290459249
138042735,292085750
138042735,293473228
138042735,294296108
